Combine labels,coding,stopwords,stemming,uniform prior,model,accuracy,accuracy on top frequency DAS,frequency-weighted accuracy,weighted precision,weighted recall,weighted F1 score,file with predictions on test set,file with predictions
yes,1,yes,no,no,fourth classifier (word2vec),0.9078947368421053,0.9629629629629629,0.9078947368421053,0.9118873951182305,0.9078947368421053,0.9051871760850088,Classified_w2v-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv,Classified_w2v_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv
yes,1,yes,no,no,fifth classifier (word2vec with TF-IDF),0.9078947368421053,0.9629629629629629,0.9078947368421053,0.9111535394430129,0.9078947368421053,0.9086051073346899,Classified_w2v_tfidf-test_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv,Classified_w2v_tfidf_combined_labels_yes-coding-approach1-stopwords-yes-uniformprior_no-stemming_no-test_no.csv
yes,1,no,yes,yes,first classifier (Naive Bayes classifier),0.9210526315789473,
yes,1,no,yes,yes,second classifier (TF-IDF Naive Bayes classifier),0.9210526315789473,0.9814814814814815,0.9210526315789473,0.9244851258581236,0.9210526315789473,0.9137027963166343,Classified_TFIDF_NB-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv,Classified_TFIDF_NB_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv
yes,1,no,yes,yes,third classifier (SVM classifier),0.9605263157894737,1.0,0.9605263157894737,0.9615781224220425,0.9605263157894737,0.9575791224886172,Classified_SVM-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv,Classified_SVM_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv
yes,1,no,yes,yes,fourth classifier (word2vec),0.9078947368421053,0.9444444444444444,0.9078947368421053,0.9118873951182305,0.9078947368421053,0.9051871760850088,Classified_w2v-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv,Classified_w2v_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv
yes,1,no,yes,yes,fifth classifier (word2vec with TF-IDF),0.8947368421052632,0.9444444444444444,0.8947368421052632,0.8983040935672515,0.8947368421052632,0.894821476934188,Classified_w2v_tfidf-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv,Classified_w2v_tfidf_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_yes-stemming_yes-test_no.csv
yes,1,no,yes,no,first classifier (Naive Bayes classifier),0.9210526315789473,
yes,1,no,yes,no,second classifier (TF-IDF Naive Bayes classifier),0.9078947368421053,0.9814814814814815,0.9078947368421053,0.8489583333333335,0.9078947368421053,0.8768074031231925,Classified_TFIDF_NB-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv,Classified_TFIDF_NB_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv
yes,1,no,yes,no,third classifier (SVM classifier),0.9605263157894737,1.0,0.9605263157894737,0.9615781224220425,0.9605263157894737,0.9575791224886172,Classified_SVM-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv,Classified_SVM_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv
yes,1,no,yes,no,fourth classifier (word2vec),0.9210526315789473,0.9814814814814815,0.9210526315789473,0.9233389324374768,0.9210526315789473,0.9191857849752587,Classified_w2v-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv,Classified_w2v_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv
yes,1,no,yes,no,fifth classifier (word2vec with TF-IDF),0.881578947368421,0.9444444444444444,0.881578947368421,0.8795436542862171,0.881578947368421,0.8789889830694089,Classified_w2v_tfidf-test_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv,Classified_w2v_tfidf_combined_labels_yes-coding-approach1-stopwords-no-uniformprior_no-stemming_yes-test_no.csv
yes,1,no,no,yes,first classifier (Naive Bayes classifier),0.9210526315789473,
